,,,
1,318,490,763
1,221,459,630
1,291,545,851
263,532,791,1016
1,276,519,865
275,508,798,1003
58,352,595,815
1,110,359,759
1,258,462,655
45,472,919,986
35,372,609,714
1,202,469,724
16,202,581,854
113,420,709,885
7,185,502,717
258,507,758,1021
160,584,744,958
1,296,555,841
1,240,640,742
1,351,413,695
3,261,510,727
113,128,359,947
206,491,698,1006
1,210,427,678
1,320,656,969
99,545,815,954
158,496,803,1007
297,747,812,904
218,483,881,1024
1,102,435,772
116,200,477,792
333,623,872,986
166,381,608,993
101,451,643,979
31,361,506,657
102,438,680,901
1,151,487,611
279,424,654,1004
21,235,454,593
1,225,575,787
1,170,357,689
37,229,480,829
149,380,534,878
20,382,844,1000
209,262,642,1016
27,268,568,776
1,240,509,705
1,381,475,881
112,469,845,985
1,348,472,676
207,580,736,908
111,363,758,978
11,343,504,778
140,375,582,799
222,392,582,958
185,372,764,1011
175,491,712,969
1,117,316,665
1,227,543,841
373,601,770,890
188,461,711,996
308,709,755,969
76,510,553,1009
12,353,595,818
38,337,584,858
108,353,651,835
1,209,416,602
1,347,481,634
222,451,636,744
214,528,777,991
1,214,636,741
1,368,513,666
143,262,401,775
8,410,516,844
1,256,352,602
1,251,451,589
11,356,535,820
1,319,616,820
170,340,512,855
1,241,328,687
18,416,558,808
1,270,639,924
228,457,700,979
14,268,527,780
40,353,602,854
49,356,574,749
406,640,864,1012
1,246,701,824
13,245,511,783
311,351,598,1023
1,490,753,877
1,236,489,870
136,535,728,960
161,445,639,746
1,430,650,840
26,443,733,911
292,507,646,1022
1,351,508,751
184,411,608,1004
81,298,628,872
1,249,445,623
1,236,469,869
1,152,484,610
1,435,627,802
1,418,690,817
161,335,485,974
1,302,543,682
84,424,543,853
315,441,777,994
165,558,761,822
1,186,378,727
113,245,811,941
154,450,635,741
1,296,520,834
13,248,419,606
237,447,701,1006
8,389,527,856
40,345,547,882
289,552,776,978
1,351,604,858
1,259,513,768
331,438,626,963
7,348,503,866
1,352,501,817
200,512,842,1004
368,538,716,1023
1,198,498,693
1,219,460,757
344,593,810,1015
165,506,822,1016
212,508,780,1012
1,405,528,843
128,448,636,742
1,207,474,762
1,211,471,747
272,519,748,1004
304,500,759,1006
26,443,762,918
149,391,803,973
217,346,682,829
29,302,514,693
245,457,585,982
1,349,645,798
27,220,481,799
213,513,739,1005
238,484,742,981
1,216,636,738
249,707,838,1019
1,330,473,734
1,255,446,619
1,181,331,496
236,469,739,1006
2,142,508,792
1,210,483,883
1,156,352,755
1,192,487,692
70,387,557,881
1,326,447,649
216,341,583,985
40,311,545,853
80,231,499,855
8,205,432,787
1,325,569,772
69,173,327,678
1,345,506,687
212,432,654,978
39,358,484,771
85,389,695,918
1,281,353,613
1,305,482,619
140,400,623,875
57,347,541,826
177,325,528,839
114,382,770,895
1,130,483,797
1,294,567,716
296,426,722,967
1,311,480,766
223,599,862,978
325,560,672,1005
91,237,443,857
74,360,485,745
193,507,803,1013
1,242,492,758
1,366,537,790
47,351,565,869
1,269,498,680
90,211,495,773
128,342,736,929
1,299,617,805
1,390,582,792
1,206,412,733
260,465,675,930
108,235,456,878
332,500,867,1017
1,330,417,660
